code,description_1,description_2,description_3,description_4,description_5
37423,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Lagophthalmos,Cicatricial lagophthalmos
3743,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Ptosis of eyelid,
37430,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Ptosis of eyelid,"Ptosis of eyelid, unspecified"
37431,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Ptosis of eyelid,Paralytic ptosis
37432,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Ptosis of eyelid,Myogenic ptosis
37433,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Ptosis of eyelid,Mechanical ptosis
37434,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Ptosis of eyelid,Blepharochalasis
3744,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Other disorders affecting eyelid function,
37441,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Other disorders affecting eyelid function,Lid retraction or lag
37443,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Other disorders affecting eyelid function,Abnormal innervation syndrome of eyelid
37444,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Other disorders affecting eyelid function,Sensory disorders of eyelid
37445,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Other disorders affecting eyelid function,Other sensorimotor disorders of eyelid
37446,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Other disorders affecting eyelid function,Blepharophimosis
3745,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Degenerative disorders of eyelid and periocular area,
37450,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Degenerative disorders of eyelid and periocular area,"Degenerative disorder of eyelid, unspecified"
37451,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Degenerative disorders of eyelid and periocular area,Xanthelasma of eyelid
37452,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Degenerative disorders of eyelid and periocular area,Hyperpigmentation of eyelid
37453,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Degenerative disorders of eyelid and periocular area,Hypopigmentation of eyelid
37454,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Degenerative disorders of eyelid and periocular area,Hypertrichosis of eyelid
37455,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Degenerative disorders of eyelid and periocular area,Hypotrichosis of eyelid
37456,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Degenerative disorders of eyelid and periocular area,Other degenerative disorders of skin affecting eyelid
3748,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Other disorders of eyelid,
37481,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Other disorders of eyelid,Hemorrhage of eyelid
37482,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Other disorders of eyelid,Edema of eyelid
37483,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Other disorders of eyelid,Elephantiasis of eyelid
37484,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Other disorders of eyelid,Cysts of eyelids
37485,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Other disorders of eyelid,Vascular anomalies of eyelid
37486,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Other disorders of eyelid,Retained foreign body of eyelid
37487,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Other disorders of eyelid,Dermatochalasis
37489,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Other disorders of eyelid,Other disorders of eyelid
3749,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Other disorders of eyelids,Unspecified disorder of eyelid,
375,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,,
3750,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Dacryoadenitis,
37500,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Dacryoadenitis,"Dacryoadenitis, unspecified"
37501,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Dacryoadenitis,Acute dacryoadenitis
37502,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Dacryoadenitis,Chronic dacryoadenitis
37503,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Dacryoadenitis,Chronic enlargement of lacrimal gland
3751,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Other disorders of lacrimal gland,
37511,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Other disorders of lacrimal gland,Dacryops
37512,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Other disorders of lacrimal gland,Other lacrimal cysts and cystic degeneration
37513,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Other disorders of lacrimal gland,Primary lacrimal atrophy
37514,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Other disorders of lacrimal gland,Secondary lacrimal atrophy
37515,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Other disorders of lacrimal gland,"Tear film insufficiency, unspecified"
37516,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Other disorders of lacrimal gland,Dislocation of lacrimal gland
3752,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Epiphora,
37520,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Epiphora,"Epiphora, unspecified as to cause"
37521,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Epiphora,Epiphora due to excess lacrimation
37522,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Epiphora,Epiphora due to insufficient drainage
3753,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Acute and unspecified inflammation of lacrimal passages,
37530,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Acute and unspecified inflammation of lacrimal passages,"Dacryocystitis, unspecified"
37531,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Acute and unspecified inflammation of lacrimal passages,"Acute canaliculitis, lacrimal"
37532,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Acute and unspecified inflammation of lacrimal passages,Acute dacryocystitis
37533,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Acute and unspecified inflammation of lacrimal passages,Phlegmonous dacryocystitis
3754,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Chronic inflammation of lacrimal passages,
37541,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Chronic inflammation of lacrimal passages,Chronic canaliculitis
37542,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Chronic inflammation of lacrimal passages,Chronic dacryocystitis
37543,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Chronic inflammation of lacrimal passages,Lacrimal mucocele
3755,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Stenosis and insufficiency of lacrimal passages,
37551,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Stenosis and insufficiency of lacrimal passages,Eversion of lacrimal punctum
37552,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Stenosis and insufficiency of lacrimal passages,Stenosis of lacrimal punctum
37553,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Stenosis and insufficiency of lacrimal passages,Stenosis of lacrimal canaliculi
37554,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Stenosis and insufficiency of lacrimal passages,Stenosis of lacrimal sac
37555,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Stenosis and insufficiency of lacrimal passages,"Obstruction of nasolacrimal duct, neonatal"
37556,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Stenosis and insufficiency of lacrimal passages,"Stenosis of nasolacrimal duct, acquired"
37557,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Stenosis and insufficiency of lacrimal passages,Dacryolith
3756,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Other changes of lacrimal passages,
37561,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Other changes of lacrimal passages,Lacrimal fistula
37569,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Other changes of lacrimal passages,Other changes of lacrimal passages
3758,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Other disorders of lacrimal system,
37581,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Other disorders of lacrimal system,Granuloma of lacrimal passages
37589,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Other disorders of lacrimal system,Other disorders of lacrimal system
3759,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of lacrimal system,Unspecified disorder of lacrimal system,
376,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,,
3760,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Acute inflammation of orbit,
37600,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Acute inflammation of orbit,"Acute inflammation of orbit, unspecified"
37601,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Acute inflammation of orbit,Orbital cellulitis
37602,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Acute inflammation of orbit,Orbital periostitis
37603,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Acute inflammation of orbit,Orbital osteomyelitis
37604,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Acute inflammation of orbit,Orbital tenonitis
3761,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Chronic inflammatory disorders of orbit,
37610,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Chronic inflammatory disorders of orbit,"Chronic inflammation of orbit, unspecified"
37611,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Chronic inflammatory disorders of orbit,Orbital granuloma
37612,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Chronic inflammatory disorders of orbit,Orbital myositis
37613,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Chronic inflammatory disorders of orbit,Parasitic infestation of orbit
3762,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Endocrine exophthalmos,
37621,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Endocrine exophthalmos,Thyrotoxic exophthalmos
37622,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Endocrine exophthalmos,Exophthalmic ophthalmoplegia
3763,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Other exophthalmic conditions,
37630,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Other exophthalmic conditions,"Exophthalmos, unspecified"
37631,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Other exophthalmic conditions,Constant exophthalmos
37632,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Other exophthalmic conditions,Orbital hemorrhage
37633,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Other exophthalmic conditions,Orbital edema or congestion
37634,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Other exophthalmic conditions,Intermittent exophthalmos
37635,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Other exophthalmic conditions,Pulsating exophthalmos
37636,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Other exophthalmic conditions,Lateral displacement of globe
3764,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Deformity of orbit,
37640,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Deformity of orbit,"Deformity of orbit, unspecified"
37641,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Deformity of orbit,Hypertelorism of orbit
37642,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Deformity of orbit,Exostosis of orbit
37643,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Deformity of orbit,Local deformities of orbit due to bone disease
37644,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Deformity of orbit,Orbital deformities associated with craniofacial deformities
37645,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Deformity of orbit,Atrophy of orbit
37646,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Deformity of orbit,Enlargement of orbit
37647,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Deformity of orbit,Deformity of orbit due to trauma or surgery
3765,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Enophthalmos,
37650,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Enophthalmos,"Enophthalmos, unspecified as to cause"
37651,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Enophthalmos,Enophthalmos due to atrophy of orbital tissue
37652,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Enophthalmos,Enophthalmos due to trauma or surgery
3766,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Retained (old) foreign body following penetrating wound of orbit,
3768,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Other orbital disorders,
37681,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Other orbital disorders,Orbital cysts
37682,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Other orbital disorders,Myopathy of extraocular muscles
37689,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Other orbital disorders,Other orbital disorders
3769,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of the orbit,Unspecified disorder of orbit,
377,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,,
3770,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Papilledema,
37700,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Papilledema,"Papilledema, unspecified"
37701,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Papilledema,Papilledema associated with increased intracranial pressure
37702,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Papilledema,Papilledema associated with decreased ocular pressure
37703,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Papilledema,Papilledema associated with retinal disorder
37704,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Papilledema,Foster-Kennedy syndrome
3771,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Optic atrophy,
37710,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Optic atrophy,"Optic atrophy, unspecified"
37711,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Optic atrophy,Primary optic atrophy
37712,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Optic atrophy,Postinflammatory optic atrophy
37713,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Optic atrophy,Optic atrophy associated with retinal dystrophies
37714,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Optic atrophy,Glaucomatous atrophy [cupping] of optic disc
37715,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Optic atrophy,Partial optic atrophy
37716,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Optic atrophy,Hereditary optic atrophy
3772,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Other disorders of optic disc,
37721,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Other disorders of optic disc,Drusen of optic disc
37722,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Other disorders of optic disc,Crater-like holes of optic disc
37723,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Other disorders of optic disc,Coloboma of optic disc
37724,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Other disorders of optic disc,Pseudopapilledema
3773,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Optic neuritis,
37730,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Optic neuritis,"Optic neuritis, unspecified"
37731,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Optic neuritis,Optic papillitis
37732,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Optic neuritis,Retrobulbar neuritis (acute)
37733,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Optic neuritis,Nutritional optic neuropathy
37734,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Optic neuritis,Toxic optic neuropathy
37739,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Optic neuritis,Other optic neuritis
3774,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Other disorders of optic nerve,
37741,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Other disorders of optic nerve,Ischemic optic neuropathy
37742,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Other disorders of optic nerve,Hemorrhage in optic nerve sheaths
37743,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Other disorders of optic nerve,Optic nerve hypoplasia
37749,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Other disorders of optic nerve,Other disorders of optic nerve
3775,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Disorders of optic chiasm,
37751,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Disorders of optic chiasm,Disorders of optic chiasm associated with pituitary neoplasms and disorders
37752,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Disorders of optic chiasm,Disorders of optic chiasm associated with other neoplasms
37753,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Disorders of optic chiasm,Disorders of optic chiasm associated with vascular disorders
37754,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Disorders of optic chiasm,Disorders of optic chiasm associated with inflammatory disorders
3776,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Disorders of other visual pathways,
37761,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Disorders of other visual pathways,Disorders of other visual pathways associated with neoplasms
37762,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Disorders of other visual pathways,Disorders of other visual pathways associated with vascular disorders
37763,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Disorders of other visual pathways,Disorders of other visual pathways associated with inflammatory disorders
3777,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Disorders of visual cortex,
37771,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Disorders of visual cortex,Disorders of visual cortex associated with neoplasms
37772,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Disorders of visual cortex,Disorders of visual cortex associated with vascular disorders
37773,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Disorders of visual cortex,Disorders of visual cortex associated with inflammatory disorders
37775,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Disorders of visual cortex,Cortical blindness
3779,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Disorders of optic nerve and visual pathways,Unspecified disorder of optic nerve and visual pathways,
378,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,,
3780,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,Esotropia,
37800,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,Esotropia,"Esotropia, unspecified"
37801,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,Esotropia,Monocular esotropia
37802,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,Esotropia,Monocular esotropia with A pattern
37803,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,Esotropia,Monocular esotropia with V pattern
37804,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,Esotropia,Monocular esotropia with other noncomitancies
37805,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,Esotropia,Alternating esotropia
37806,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,Esotropia,Alternating esotropia with A pattern
37807,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,Esotropia,Alternating esotropia with V pattern
37808,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,Esotropia,Alternating esotropia with other noncomitancies
3781,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,Exotropia,
37810,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,Exotropia,"Exotropia, unspecified"
37811,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,Exotropia,Monocular exotropia
37812,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,Exotropia,Monocular exotropia with A pattern
37813,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,Exotropia,Monocular exotropia with V pattern
37814,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,Exotropia,Monocular exotropia with other noncomitancies
37815,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,Exotropia,Alternating exotropia
37816,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,Exotropia,Alternating exotropia with A pattern
37817,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,Exotropia,Alternating exotropia with V pattern
37818,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,Exotropia,Alternating exotropia with other noncomitancies
3782,Diseases Of The Nervous System And Sense Organs,Disorders Of The Eye And Adnexa,Strabismus and other disorders of binocular eye movements,Intermittent heterotropia,
