code,description_1,description_2,description_3,description_4
3422,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm","Diagnostic Procedures On Chest Wall, Pleura, Mediastinum, And Diaphragm",Mediastinoscopy
3423,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm","Diagnostic Procedures On Chest Wall, Pleura, Mediastinum, And Diaphragm",Biopsy Of Chest Wall
3424,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm","Diagnostic Procedures On Chest Wall, Pleura, Mediastinum, And Diaphragm",Other Pleural Biopsy
3425,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm","Diagnostic Procedures On Chest Wall, Pleura, Mediastinum, And Diaphragm",Closed [Percutaneous][Needle] Biopsy Of Mediastinum
3426,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm","Diagnostic Procedures On Chest Wall, Pleura, Mediastinum, And Diaphragm",Open Biopsy Of Mediastinum
3427,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm","Diagnostic Procedures On Chest Wall, Pleura, Mediastinum, And Diaphragm",Biopsy Of Diaphragm
3428,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm","Diagnostic Procedures On Chest Wall, Pleura, Mediastinum, And Diaphragm","Other Diagnostic Procedures On Chest Wall, Pleura, And Diaphragm"
3429,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm","Diagnostic Procedures On Chest Wall, Pleura, Mediastinum, And Diaphragm",Other Diagnostic Procedures On Mediastinum
343,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Excision Or Destruction Of Lesion Or Tissue Of Mediastinum,
344,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Excision Or Destruction Of Lesion Of Chest Wall,
345,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Pleurectomy,
3451,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Pleurectomy,Decortication Of Lung
3452,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Pleurectomy,Thoracoscopic Decortication Of Lung
3459,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Pleurectomy,Other Excision Of Pleura
346,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Scarification Of Pleura,
347,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Repair Of Chest Wall,
3471,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Repair Of Chest Wall,Suture Of Laceration Of Chest Wall
3472,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Repair Of Chest Wall,Closure Of Thoracostomy
3473,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Repair Of Chest Wall,Closure Of Other Fistula Of Thorax
3474,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Repair Of Chest Wall,Repair Of Pectus Deformity
3479,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Repair Of Chest Wall,Other Repair Of Chest Wall
348,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Operations On Diaphragm,
3481,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Operations On Diaphragm,Excision Of Lesion Or Tissue Of Diaphragm
3482,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Operations On Diaphragm,Suture Of Laceration Of Diaphragm
3483,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Operations On Diaphragm,Closure Of Fistula Of Diaphragm
3484,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Operations On Diaphragm,Other Repair Of Diaphragm
3485,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Operations On Diaphragm,Implantation Of Diaphragmatic Pacemaker
3489,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Operations On Diaphragm,Other Operations On Diaphragm
349,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Other Operations On Thorax,
3491,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Other Operations On Thorax,Thoracentesis
3492,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Other Operations On Thorax,Injection Into Thoracic Cavity
3493,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Other Operations On Thorax,Repair Of Pleura
3499,Operations On The Respiratory System,"Operations On Chest Wall, Pleura, Mediastinum, And Diaphragm",Other Operations On Thorax,Other
35,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,,
350,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Closed Heart Valvotomy,
3500,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Closed Heart Valvotomy,"Closed Heart Valvotomy, Unspecified Valve"
3501,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Closed Heart Valvotomy,"Closed Heart Valvotomy, Aortic Valve"
3502,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Closed Heart Valvotomy,"Closed Heart Valvotomy, Mitral Valve"
3503,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Closed Heart Valvotomy,"Closed Heart Valvotomy, Pulmonary Valve"
3504,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Closed Heart Valvotomy,"Closed Heart Valvotomy, Tricuspid Valve"
3505,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Closed Heart Valvotomy,Endovascular Replacement Of Aortic Valve
3506,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Closed Heart Valvotomy,Transapical Replacement Of Aortic Valve
3507,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Closed Heart Valvotomy,Endovascular Replacement Of Pulmonary Valve
3508,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Closed Heart Valvotomy,Transapical Replacement Of Pulmonary Valve
3509,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Closed Heart Valvotomy,Endovascular Replacement Of Unspecified Heart Valve
351,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Open Heart Valvuloplasty Without Replacement,
3510,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Open Heart Valvuloplasty Without Replacement,"Open Heart Valvuloplasty Without Replacement, Unspecified Valve"
3511,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Open Heart Valvuloplasty Without Replacement,Open Heart Valvuloplasty Of Aortic Valve Without Replacement
3512,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Open Heart Valvuloplasty Without Replacement,Open Heart Valvuloplasty Of Mitral Valve Without Replacement
3513,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Open Heart Valvuloplasty Without Replacement,Open Heart Valvuloplasty Of Pulmonary Valve Without Replacement
3514,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Open Heart Valvuloplasty Without Replacement,Open Heart Valvuloplasty Of Tricuspid Valve Without Replacement
352,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Open And Other Replacement Of Heart Valve,
3520,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Open And Other Replacement Of Heart Valve,Open And Other Replacement Of Unspecified Heart Valve
3521,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Open And Other Replacement Of Heart Valve,Open And Other Replacement Of Aortic Valve With Tissue Graft
3522,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Open And Other Replacement Of Heart Valve,Other Replacement Of Mitral Valve With Tissue Graft
3523,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Open And Other Replacement Of Heart Valve,Open And Other Replacement Of Mitral Valve With Tissue Graft
3524,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Open And Other Replacement Of Heart Valve,Open And Other Replacement Of Mitral Valve
3525,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Open And Other Replacement Of Heart Valve,Open And Other Replacement Of Pulmonary Valve With Tissue Graft
3526,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Open And Other Replacement Of Heart Valve,Open And Other Replacement Of Pulmonary Valve
3527,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Open And Other Replacement Of Heart Valve,Open And Other Replacement Of Tricuspid Valve With Tissue Graft
3528,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Open And Other Replacement Of Heart Valve,Open And Other Replacement Of Tricuspid Valve
353,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Operations On Structures Adjacent To Heart Valves,
3531,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Operations On Structures Adjacent To Heart Valves,Operations On Papillary Muscle
3532,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Operations On Structures Adjacent To Heart Valves,Operations On Chordae Tendineae
3533,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Operations On Structures Adjacent To Heart Valves,Annuloplasty
3534,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Operations On Structures Adjacent To Heart Valves,Infundibulectomy
3535,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Operations On Structures Adjacent To Heart Valves,Operations On Trabeculae Carneae Cordis
3539,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Operations On Structures Adjacent To Heart Valves,Operations On Other Structures Adjacent To Valves Of Heart
354,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Production Of Septal Defect In Heart,
3541,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Production Of Septal Defect In Heart,Enlargement Of Existing Atrial Septal Defect
3542,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Production Of Septal Defect In Heart,Creation Of Septal Defect In Heart
355,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Repair Of Atrial And Ventricular Septa With Prosthesis,
3550,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Repair Of Atrial And Ventricular Septa With Prosthesis,Repair Of Unspecified Septal Defect Of Heart With Prosthesis
3551,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Repair Of Atrial And Ventricular Septa With Prosthesis,"Repair Of Atrial Septal Defect With Prosthesis, Open Technique"
3552,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Repair Of Atrial And Ventricular Septa With Prosthesis,"Repair Of Atrial Septal Defect With Prosthesis, Closed Technique"
3553,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Repair Of Atrial And Ventricular Septa With Prosthesis,Repair Of Ventricular Septal Defect With Prosthesis
3554,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Repair Of Atrial And Ventricular Septa With Prosthesis,Repair Of Endocardial Cushion Defect With Prosthesis
3555,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Repair Of Atrial And Ventricular Septa With Prosthesis,"Repair Of Ventricular Septal Defect With Prosthesis, Closed Technique"
356,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Repair Of Atrial And Ventricular Septa With Tissue Graft,
3560,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Repair Of Atrial And Ventricular Septa With Tissue Graft,Repair Of Unspecified Septal Defect Of Heart With Tissue Graft
3561,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Repair Of Atrial And Ventricular Septa With Tissue Graft,Repair Of Atrial Septal Defect With Tissue Graft
3562,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Repair Of Atrial And Ventricular Septa With Tissue Graft,Repair Of Ventricular Septal Defect With Tissue Graft
3563,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Repair Of Atrial And Ventricular Septa With Tissue Graft,Repair Of Endocardial Cushion Defect With Tissue Graft
357,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Other And Unspecified Repair Of Atrial And Ventricular Septa,
3570,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Other And Unspecified Repair Of Atrial And Ventricular Septa,Other And Unspecified Repair Of Unspecified Septal Defect Of Heart
3571,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Other And Unspecified Repair Of Atrial And Ventricular Septa,Other And Unspecified Repair Of Atrial Septal Defect
3572,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Other And Unspecified Repair Of Atrial And Ventricular Septa,Other And Unspecified Repair Of Ventricular Septal Defect
3573,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Other And Unspecified Repair Of Atrial And Ventricular Septa,Other And Unspecified Repair Of Endocardial Cushion Defect
358,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Total Repair Of Certain Congenital Cardiac Anomalies,
3581,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Total Repair Of Certain Congenital Cardiac Anomalies,Total Repair Of Tetralogy Of Fallot
3582,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Total Repair Of Certain Congenital Cardiac Anomalies,Total Repair Of Total Anomalous Pulmonary Venous Connection
3583,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Total Repair Of Certain Congenital Cardiac Anomalies,Total Repair Of Truncus Arteriosus
3584,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Total Repair Of Certain Congenital Cardiac Anomalies,"Total Correction Of Transposition Of Great Vessels, Not Elsewhere Classified"
359,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Other Operations On Valves And Septa Of Heart,
3591,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Other Operations On Valves And Septa Of Heart,Interatrial Transposition Of Venous Return
3592,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Other Operations On Valves And Septa Of Heart,Creation Of Conduit Between Right Ventricle And Pulmonary Artery
3593,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Other Operations On Valves And Septa Of Heart,Creation Of Conduit Between Left Ventricle And Aorta
3594,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Other Operations On Valves And Septa Of Heart,Creation Of Conduit Between Atrium And Pulmonary Artery
3595,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Other Operations On Valves And Septa Of Heart,Revision Of Corrective Procedure On Heart
3596,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Other Operations On Valves And Septa Of Heart,Percutaneous Valvuloplasty
3597,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Other Operations On Valves And Septa Of Heart,Percutaneous Mitral Valve Repair With Implant
3598,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Other Operations On Valves And Septa Of Heart,Other Operations On Septa Of Heart
3599,Operations On The Cardiovascular System,Operations On Valves And Septa Of Heart,Other Operations On Valves And Septa Of Heart,Other Operations On Valves Of Heart
36,Operations On The Cardiovascular System,Operations On Vessels Of Heart,,
360,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Removal Of Coronary Artery Obstruction And Insertion Of Stent(s),
3603,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Removal Of Coronary Artery Obstruction And Insertion Of Stent(s),Open Chest Coronary Artery Angioplasty
3604,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Removal Of Coronary Artery Obstruction And Insertion Of Stent(s),Intracoronary Artery Thrombolytic Infusion
3606,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Removal Of Coronary Artery Obstruction And Insertion Of Stent(s),Insertion Of Non-Drug-Eluting Coronary Artery Stent(s)
3607,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Removal Of Coronary Artery Obstruction And Insertion Of Stent(s),Insertion Of Drug-Eluting Coronary Artery Stent(s)
3609,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Removal Of Coronary Artery Obstruction And Insertion Of Stent(s),Other Removal Of Coronary Artery Obstruction
361,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Bypass Anastomosis For Heart Revascularization,
3610,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Bypass Anastomosis For Heart Revascularization,"Aortocoronary Bypass For Heart Revascularization, Not Otherwise Specified"
3611,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Bypass Anastomosis For Heart Revascularization,Aortocoronary Bypass Of One Coronary Artery
3612,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Bypass Anastomosis For Heart Revascularization,Aortocoronary Bypass Of Two Coronary Arteries
3613,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Bypass Anastomosis For Heart Revascularization,Aortocoronary Bypass Of Three Coronary Arteries
3614,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Bypass Anastomosis For Heart Revascularization,Aortocoronary Bypass Of Four Or More Coronary Arteries
3615,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Bypass Anastomosis For Heart Revascularization,Single Internal Mammary-Coronary Artery Bypass
3616,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Bypass Anastomosis For Heart Revascularization,Double Internal Mammary-Coronary Artery Bypass
3617,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Bypass Anastomosis For Heart Revascularization,Abdominal-Coronary Artery Bypass
3619,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Bypass Anastomosis For Heart Revascularization,Other Bypass Anastomosis For Heart Revascularization
362,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Heart Revascularization By Arterial Implant,
363,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Other Heart Revascularization,
3631,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Other Heart Revascularization,Open Chest Transmyocardial Revascularization
3632,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Other Heart Revascularization,Other Transmyocardial Revascularization
3633,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Other Heart Revascularization,Endoscopic Transmyocardial Revascularization
3634,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Other Heart Revascularization,Percutaneous Transmyocardial Revascularization
3639,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Other Heart Revascularization,Other Heart Revascularization
369,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Other Operations On Vessels Of Heart,
3691,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Other Operations On Vessels Of Heart,Repair Of Aneurysm Of Coronary Vessel
3699,Operations On The Cardiovascular System,Operations On Vessels Of Heart,Other Operations On Vessels Of Heart,Other Operations On Vessel Of Heart
37,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,,
370,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Pericardiocentesis,
371,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Cardiotomy And Pericardiotomy,
3710,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Cardiotomy And Pericardiotomy,"Incision Of Heart, Not Otherwise Specified"
3711,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Cardiotomy And Pericardiotomy,Cardiotomy
3712,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Cardiotomy And Pericardiotomy,Pericardiotomy
372,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Diagnostic Procedures On Heart And Pericardium,
3720,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Diagnostic Procedures On Heart And Pericardium,Noninvasive Programmed Electrical Stimulation [Nips]
3721,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Diagnostic Procedures On Heart And Pericardium,Right Heart Cardiac Catheterization
3722,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Diagnostic Procedures On Heart And Pericardium,Left Heart Cardiac Catheterization
3723,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Diagnostic Procedures On Heart And Pericardium,Combined Right And Left Heart Cardiac Catheterization
3724,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Diagnostic Procedures On Heart And Pericardium,Biopsy Of Pericardium
3725,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Diagnostic Procedures On Heart And Pericardium,Biopsy Of Heart
3726,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Diagnostic Procedures On Heart And Pericardium,Cardiac Electrophysiologic Stimulation And Recording Studies
3727,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Diagnostic Procedures On Heart And Pericardium,Cardiac Mapping
3728,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Diagnostic Procedures On Heart And Pericardium,Intracardiac Echocardiography [Ice]
3729,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Diagnostic Procedures On Heart And Pericardium,Other Diagnostic Procedures On Heart And Pericardium
373,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Pericardiectomy And Excision Of Lesion Of Heart,
3731,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Pericardiectomy And Excision Of Lesion Of Heart,Pericardiectomy
3732,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Pericardiectomy And Excision Of Lesion Of Heart,Excision Of Aneurysm Of Heart
3733,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Pericardiectomy And Excision Of Lesion Of Heart,"Excision Or Destruction Of Other Lesion Or Tissue Of Heart, Open Approach"
3734,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Pericardiectomy And Excision Of Lesion Of Heart,"Excision Or Destruction Of Other Lesion Or Tissue Of Heart, Endovascular Approach"
3735,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Pericardiectomy And Excision Of Lesion Of Heart,Partial Ventriculectomy
3736,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Pericardiectomy And Excision Of Lesion Of Heart,"Excision, Destruction, Or Exclusion Of Left Atrial Appendage (Laa)"
3737,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Pericardiectomy And Excision Of Lesion Of Heart,"Excision Or Destruction Of Other Lesion Or Tissue Of Heart, Thoracoscopic Approach"
374,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Repair Of Heart And Pericardium,
3741,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Repair Of Heart And Pericardium,Implantation Of Prosthetic Cardiac Support Device Around The Heart
3749,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Repair Of Heart And Pericardium,Other Repair Of Heart And Pericardium
375,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Heart Replacement Procedures,
3751,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Heart Replacement Procedures,Heart Transplantation
3752,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Heart Replacement Procedures,Implantation Of Total Internal Biventricular Heart Replacement System
3753,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Heart Replacement Procedures,Replacement Or Repair Of Thoracic Unit Of (Total) Replacement Heart System
3754,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Heart Replacement Procedures,Replacement Or Repair Of Other Implantable Component Of (Total) Replacement Heart System
3755,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Heart Replacement Procedures,Removal Of Internal Biventricular Heart Replacement System
376,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Implantation Of Heart And Circulatory Assist System(s),
3760,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Implantation Of Heart And Circulatory Assist System(s),Implantation Or Insertion Of Biventricular External Heart Assist System
3761,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Implantation Of Heart And Circulatory Assist System(s),Implant Of Pulsation Balloon
3762,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Implantation Of Heart And Circulatory Assist System(s),Insertion Of Temporary Non-Implantable Extracorporeal Circulatory Assist Device
3763,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Implantation Of Heart And Circulatory Assist System(s),Replacement And Repair Of Heart Assist System
3764,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Implantation Of Heart And Circulatory Assist System(s),Removal Of External Heart Assist System(s) Or Device(s)
3765,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Implantation Of Heart And Circulatory Assist System(s),Implant Of Single Ventricular (Extracorporeal) External Heart Assist System
3766,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Implantation Of Heart And Circulatory Assist System(s),"Implant Of An Implantable, Pulsatile Heart Assist System"
3767,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Implantation Of Heart And Circulatory Assist System(s),Implantation Of Cardiomyostimulation System
3768,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,Implantation Of Heart And Circulatory Assist System(s),Insertion Of Percutaneous External Heart Assist Device
377,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,"Insertion, Revision, Replacement, And Removal Of Pacemaker Leads; Insertion Of Temporary Pacemaker System; Or Revision Of Pocket",
3770,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,"Insertion, Revision, Replacement, And Removal Of Pacemaker Leads; Insertion Of Temporary Pacemaker System; Or Revision Of Pocket","Initial Insertion Of Lead [Electrode], Not Otherwise Specified"
3771,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,"Insertion, Revision, Replacement, And Removal Of Pacemaker Leads; Insertion Of Temporary Pacemaker System; Or Revision Of Pocket",Initial Insertion Of Transvenous Lead [Electrode] Into Ventricle
3772,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,"Insertion, Revision, Replacement, And Removal Of Pacemaker Leads; Insertion Of Temporary Pacemaker System; Or Revision Of Pocket",Initial Insertion Of Transvenous Leads [Electrodes] Into Atrium And Ventricle
3773,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,"Insertion, Revision, Replacement, And Removal Of Pacemaker Leads; Insertion Of Temporary Pacemaker System; Or Revision Of Pocket",Initial Insertion Of Transvenous Lead [Electrode] Into Atrium
3774,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,"Insertion, Revision, Replacement, And Removal Of Pacemaker Leads; Insertion Of Temporary Pacemaker System; Or Revision Of Pocket",Insert/Replace Epicardial Lead [Electrode] Into Epicardium
3775,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,"Insertion, Revision, Replacement, And Removal Of Pacemaker Leads; Insertion Of Temporary Pacemaker System; Or Revision Of Pocket",Revision Of Lead [Electrode]
3776,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,"Insertion, Revision, Replacement, And Removal Of Pacemaker Leads; Insertion Of Temporary Pacemaker System; Or Revision Of Pocket",Replacement Of Transvenous Atrial And/Or Ventricular Lead(s) [Electrode]
3777,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,"Insertion, Revision, Replacement, And Removal Of Pacemaker Leads; Insertion Of Temporary Pacemaker System; Or Revision Of Pocket",Removal Of Lead(s) [Electrode] Without Replacement
3778,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,"Insertion, Revision, Replacement, And Removal Of Pacemaker Leads; Insertion Of Temporary Pacemaker System; Or Revision Of Pocket",Insertion Of Temporary Transvenous Pacemaker System
3779,Operations On The Cardiovascular System,Other Operations On Heart And Pericardium,"Insertion, Revision, Replacement, And Removal Of Pacemaker Leads; Insertion Of Temporary Pacemaker System; Or Revision Of Pocket",Revision Or Relocation Of Pacemaker Pocket
